Code,Designation,Stock,Emplacement,Prix d'achat,Prix de vente HT,Prix de vente TTC,
9200497,BIELLE DIRECTION MEGANE AM,1,5C*,12.745,16.569,19.717,
32103,VASE D'EAU CLIO 4 /SYMBOL II,0,K,32.550,43.942,52.290,
GF1703,SOUPAPE ECH *DCI*,0,,8.019,11.227,13.360,
PBS239,POMPE ESSENCE R21,0,,17.866,23.226,27.638,
RN3271003,SUPPORT PARECHOC AV CLIO III G 2009,0,,30.638,45.957,54.688,
104801,AMORTISSEUR AV G P.301,0,,73.100,95.030,113.085,
SYRN0601R,PORTE AV SYMBOL II D,1,DEPOT,406.318,548.529,652.749,
T03R41812,AGRAFFE VERT LEVE GLASSE CLIO *BLANC*,2,,1.950,2.730,3.248,
3251622,RENFORT PARECHOC AV CLIO III ,-2,,185.382,250.265,297.815,
128200,RADIATEUR CLIMATISEUR CLIO /SYMBOL /KANGOO ESS,0,DEPOT,199.000,258.700,307.853,
306209536R,BUTEE EMBRAYAGE DCI/ESS 222R,0,F*,99.654,134.532,160.093,
P2H-KAD12,ELARGISSEUR D'AIL AR KADJAR D,0,DEPOT,53.892,72.754,86.577,
620229390R,PARECHOC AV CAPTURE SUP,0,,865.705,1064.817,1267.132,
47033Z,ROTULE SUSP MASTER II *AXE22*,0,2E,16.194,29.958,35.650,
8FC351300-491,RADIATEUR CLIMATISEUR CLIO /KANGOO /SYMBOL,0,DEPOT,230.750,346.125,411.888,
ART0009353,JOINT CACHE SOUPAPE.,-5,,0.000,0.000,0.000,
PF-R062,BAGUETTE PARECHOC AV MEGANE II FACE II D,-3,,37.125,50.118,59.640,
P2-DA-LGW3S,PARECHOC AR LOGAN MCV ,0,DP,334.050,450.967,536.650,
VM-135R,RETROVISEUR CLIO II D *MANUEL*,0,*,35.943,48.523,57.742,
SY-RN-0704,CAPOT MOTEUR SYMBOL I,0,DP,329.727,445.131,529.705,
RE-ES-1563,ROTULE DIRECTION CLIO /KANGOO G *GM*,0,2A,33.705,45.501,54.146,
588010,POULIE ALT 1.9I,1,15C,49.194,66.411,79.029,
131110,CORP THERMOSTAT MEGANE II /III ESS COMPLET *SR*,0,11C**,49.765,72.159,85.869,
ART0011437,CACHE MOTEUR POLO.,-3,,0.000,0.000,0.000,
RE-AX-13416,BIELLE DIRECTION CLIO 4 /CAPTUR,-1,5B**,31.941,43.120,51.312,
11360-1HC0C,SUPPORT B.V MICRA,0,4D3,75.020,101.277,120.519,
B03079744,NECC MACHOIR CLIO /KANGOO /LOGAN,2,8C3,49.185,66.399,79.014,
02810N0,JEUX DE SEGMENT Q71 SCE *1X1.2X2*,1,11A,107.820,237.204,282.272,
6PK1122,COURROIE ALT 6PK1122,1,T**,23.860,32.211,38.331,
110445659R,JOINT CULASSE Q73 JUKE F15,0,,0.000,0.000,0.000,
7700842857X,TIRAN DE PORTE AV CLIO II /SYMBOL I,0,8C2,0.000,0.000,0.000,
7770013,BIELLE DIRECTION BIPPER,0,,35.678,35.678,42.456,
212062,MAITRE CYLINDRE 404,0,,33.905,33.905,40.346,
ART0014529,BAGUETTE DE PORTE AV LOGAN G,0,,0.000,0.000,0.000,
901018559R,PORTE AR DOKKER G *S/V*,0,,1649.041,2028.320,2413.700,
14325,DURITE TURBO NEMO,0,,96.183,96.183,114.457,
72-7510,AMORTISSEUR CAPOT CLIO 4,2,,20.170,27.229,32.402,
0779,SILENTBLOC TRIANGLE CLIO CHIPIE,0,,2.528,4.550,5.414,
103848 ,AMORTISSEUR AV TRAFIC G,1,BUREAU,101.900,137.565,163.702,
119181036,CABLE VITESSE CLIO III *BLEU*,0,,57.200,85.800,102.102,
146,VER RETROVISEUR KANGOO NM G-D,0,,12.145,19.432,23.124,
19090301,PLAGE AV EXP NM SOUS TRAVERSE,0,,90.712,117.926,140.331,
2209017,TRIANGLE MEGANE II D *AXE 18*,0,8B**,65.040,87.804,104.486,
2531,PASTILLE 16,0,,0.559,0.727,0.865,
303934,TETE CARDAN TRAFIC II,0,,63.310,88.634,105.474,
3590,POIGNEE DE PORTE EXT SYMBOL I D,0,8E3,18.177,24.538,29.200,
4001805,SUPPORT B.V CLIO /KANGOO *NOIR*,1,R1**,42.788,57.763,68.737,
417987P,POCHETTE JOINT Q69 CLIO,0,7B*,56.328,78.859,93.842,
4712,SUPPORT ECHAPEMENT MEGANE II *CENTRAL*,3,4E1,15.414,23.121,27.513,
5240-STD,JEUX DE COUSS L 7330-STD,-1,,18.800,26.320,31.320,
5904000,JEUX DE CHEMISE Q76,0,13,67.200,94.080,111.955,
63012,POIGNEE DE PORTE INT CLIO NM G/D,-3,,5.000,9.000,10.710,
730140,RADIATEUR D'EAU R21/TRAFIC DIESEL,0,,163.328,204.160,242.950,
7700872205,BAGUE DE VITESSE,0,,5.919,7.695,9.157,
77738,TENDEUR CLIMATISEUR CLIO DANT,0,3*,20.604,29.875,35.551,
11011013,CAPOT MOTEUR KANGOO AM,1,DEPOT**,217.575,337.241,401.316,
842303,KIT EMBRAYAGE MEGANE II ESS,1,FA,175.185,236.499,281.433,
9202905,RETROVISEUR MASTER D 2003,0,,141.261,183.639,218.530,
30323,FLEXIBLE DE FREIN AV DACIA,6,8C3,5.000,9.500,11.305,
GF1704,SOUPAPE ADM CLIO CLASSIC*16V*,12,11B,7.283,9.468,11.266,
PBS245,POMPE ESSENCE SUP5/EXP,0,,17.866,23.226,27.638,
RN3271004,SUPPORT PARECHOC AV CLIO III D 2009,0,,30.638,45.957,54.688,
104801,AMORTISSEUR AV G P,0,,73.100,95.030,113.085,
804652,EMETEUR EMBRAYAGE SANDERO II,0,F**,145.889,196.950,234.370,
T03R41912,AGRAFFE AILE CLIO+VIS,-5,A4*,5.279,7.390,8.794,
25018Z,JEUX DE DISQUE AV MASTER II *6TROU*,0,,108.500,146.475,174.305,
144436,CAPTEUR DEMARAGE R19/EXP,0,11A*,59.448,80.254,95.502,
RX16020,TENDEUR DE CHAINE MEGANE 1.5DCI,1,15B,51.999,70.198,83.535,
P3-KAD-1,BAGUETTE CALANDRE KADJAR *GM* NOIR,1,DEPOT,67.168,90.676,107.904,
713336600,JOINT CARTER CLIO 1.2 BOMBEE,0,7B*,25.279,34.126,40.609,
0058 ,TRIANGLE MEGANE II D,0,,51.900,70.065,83.377,
334744,AMORTISSEUR AV FLUENCE ,0,,111.600,150.660,179.285,
506698,POMPE A EAU 1.9DCI MASTER /TRAFIC /LAGUNA II ,0,10A,68.626,92.645,110.247,
ART0009628,JEUX DE BALAIS 206,-1,,0.000,0.000,0.000,
